Name,Location,Duration,Destination,Class,Price ($),Distance (km),Aircraft Type
Indigoo,Edinburgh,7:20,Doha,Business,266.8,2668,Boeing 787
LATAM Airlines,Los Angeles,1:30,Reykjavik,First,2923.4,14617,Airbus A330
Thai Airways,Lisbon,1:50,Amsterdam,First,1540.4,7702,Airbus A330neo
Air India,Doha,1:00,Jakarta,Business,516.0,5160,Boeing 787
French Bee,Vienna,4:20,Vienna,Business,664.5,6645,ATR 72
Malaysia Airlines,Hanoi,5:20,Lyon,First,240.6,1203,Embraer E190
X-Express,Berlin,6:40,Moscow,First,2189.4,10947,Airbus A330
Qatar Airways,Texas,2:50,Munich,First,1197.4,5987,Boeing 747
Emirates,Los Angeles,2:20,Bangkok,Business,69.8,698,Boeing 777
Gulf Air,Tokyo,1:40,Toronto,Economy,57.4,1148,Airbus A330neo
Virgin Atlantic,Jakarta,11:50,Vancouver,First,1667.4,8337,ATR 72
French Bee,Dublin,5:00,Dubai,First,2843.4,14217,Boeing 747
Emirates,Buenos Aires,2:10,Chicago,Business,848.0,8480,Airbus A320
LATAM Airlines,Moscow,9:00,Rio de Janeiro,Business,268.0,2680,McDonnell Douglas MD-11
Air International,Delhi,4:20,Lyon,Business,879.9,8799,McDonnell Douglas MD-80
Qatar Airways,Bangkok,4:20,Lyon,Business,1309.5,13095,Boeing 737 MAX
Royal Jordanian,Hanoi,5:30,Tokyo,Business,1014.9,10149,Boeing 767
United Airlines,Amsterdam,11:00,Cairo,Economy,570.75,11415,Bombardier CRJ
Royal Jordanian,Toronto,5:40,Stockholm,Economy,552.55,11051,Boeing 787
Airlines,Brazil,9:20,Geneva,First,677.2,3386,Boeing 737 MAX
American Airlines,Oslo,9:30,Nairobi,Business,1025.5,10255,Boeing 787
Indigoo,Bangkok,5:20,Bangkok,Business,51.2,512,Boeing 737
Malaysia Airlines,Ho Chi Minh City,7:00,Berlin,First,1336.8,6684,Boeing 737
Qatar Airways,Kolkata,1:30,Dubai,First,936.8,4684,Airbus A350
Delta Airlines,Lisbon,1:10,Johannesburg,First,1000.2,5001,Boeing 737 MAX
Japan Airlines,Manila,3:50,Rome,Economy,626.85,12537,Airbus A330neo
Swiss International Air Lines,Toronto,4:40,Venice,Economy,97.6,1952,McDonnell Douglas MD-80
Virgin Atlantic,Berlin,5:10,Berlin,Business,931.2,9312,Airbus A330neo
Air Canada,Brisbane,9:30,Jakarta,Business,1048.6,10486,McDonnell Douglas MD-11
British Airways,Singapore,10:40,Delhi,First,380.6,1903,Embraer E190
Japan Airlines,Bangkok,11:30,San Francisco,First,1680.4,8402,Boeing 737 MAX
Star Lines,Abu Dhabi,6:30,Reykjavik,First,2516.6,12583,Embraer E190
Vistara,Beijing,8:30,Zurich,First,1396.6,6983,Airbus A319
Qantas,Berlin,11:30,Buenos Aires,First,1998.4,9992,Boeing 787-10
Turkish Airlines,Chennai,7:50,Tokyo,Economy,663.4,13268,Airbus A319
French Bee,Kuala Lumpur,8:40,Delhi,Business,804.0,8040,De Havilland Dash 8
SAS Scandinavian Airlines,Sydney,1:10,Mexico City,Business,240.5,2405,ATR 72
Swiss International Air Lines,Beijing,8:40,Amsterdam,Economy,296.2,5924,Bombardier CRJ
Asian Airlines,Rome,7:50,Reykjavik,Economy,718.55,14371,Boeing 737
Qantas,Oslo,6:10,Istanbul,First,2260.0,11300,Boeing 747
Swiss International Air Lines,Los Angeles,8:20,Tokyo,Economy,88.15,1763,Bombardier CRJ
Indigoo,New York,5:50,Manchester,Business,1408.8,14088,Boeing 747
Qantas,Stockholm,1:00,Beijing,First,640.6,3203,Boeing 787
Air International,Singapore,3:20,Hong Kong,Economy,716.85,14337,Airbus A321
Etihad Airways,Sao Paulo,3:00,New York,Economy,191.85,3837,Airbus A220
Japan Airlines,Jakarta,8:20,Brussels,Business,488.6,4886,McDonnell Douglas MD-80
American Airlines,Dublin,3:20,Toronto,Economy,171.75,3435,Boeing 767
Qatar Airways,Copenhagen,8:40,St. Petersburg,First,1564.0,7820,McDonnell Douglas MD-80
Qantas,Rome,7:30,Jakarta,First,1173.2,5866,Airbus A319
Airlines,Dubai,1:50,Helsinki,Economy,656.7,13134,Airbus A320
Star Lines,Berlin,6:20,Dubai,First,2300.6,11503,Airbus A330
Air International,Dubai,7:00,Kuala Lumpur,Business,1489.7,14897,Airbus A330neo
Japan Airlines,Mumbai,8:00,Oslo,Business,633.5,6335,Boeing 737 MAX
Go First,Doha,6:40,Kuala Lumpur,Economy,305.75,6115,McDonnell Douglas MD-80
SAS Scandinavian Airlines,Mexico City,4:10,San Francisco,First,743.4,3717,Airbus A380
Space Jet,Nairobi,11:20,Sao Paulo,First,1206.2,6031,Airbus A319
Turkish Airlines,Ottawa,9:50,Nairobi,Business,352.3,3523,Airbus A330
Swiss International Air Lines,Buenos Aires,2:30,Singapore,First,880.4,4402,Boeing 777X
Asian Airlines,Doha,4:20,Rio de Janeiro,First,527.2,2636,Airbus A319
Etihad Airways,Dubai,9:10,Ho Chi Minh City,First,2411.8,12059,Airbus A330
Aeroflot,Toronto,2:30,Kuala Lumpur,First,950.2,4751,Airbus A319
Qantas,Kolkata,12:10,Israel,Economy,706.85,14137,Boeing 787
Aeroflot,Tokyo,2:20,Madrid,Economy,378.75,7575,Boeing 757
Thai Airways,Toronto,3:00,Nairobi,First,2441.4,12207,ATR 72
Swiss International Air Lines,Bangkok,6:40,Dubai,Economy,722.2,14444,Airbus A350
Asian Airlines,Bangkok,2:20,Dhaka,Economy,437.7,8754,Airbus A220
American Airlines,Kolkata,1:40,Tokyo,Business,1000.0,10000,Boeing 777X
Cathay Pacific,Moscow,12:50,Singapore,First,1221.6,6108,Boeing 777
American Airlines,Manchester,7:10,Kuala Lumpur,Business,378.5,3785,Airbus A320
United Airlines,Moscow,1:50,Brussels,Business,1033.9,10339,Boeing 737
Air Asia,Abu Dhabi,10:40,New York,First,2632.6,13163,Boeing 777
Emirates,Toronto,12:00,Hong Kong,First,627.8,3139,McDonnell Douglas MD-80
Air Asia,Cairo,6:40,Venice,Business,192.7,1927,Boeing 757
Virgin Atlantic,Melbourne,8:40,San Francisco,First,1918.4,9592,Airbus A319
Southwest Airlines,Oslo,2:10,Abu Dhabi,First,2968.0,14840,Boeing 787-10
SAS Scandinavian Airlines,Brazil,9:20,Sao Paulo,Economy,258.35,5167,Airbus A330neo
Air France,Kolkata,1:10,Paris,Business,418.3,4183,Airbus A350
Air Canada,Seoul,4:40,Barcelona,Business,138.1,1381,Boeing 777
Vistara,Stockholm,1:00,Dhaka,Economy,167.9,3358,Embraer E190
Swiss International Air Lines,London,4:20,Tokyo,Economy,673.25,13465,Boeing 777
American Airlines,Barcelona,7:30,Jakarta,Business,770.7,7707,Boeing 787
Qatar Airways,Zurich,6:50,Munich,First,482.4,2412,Boeing 737
Thai Airways,Copenhagen,5:40,St. Petersburg,First,2666.6,13333,Airbus A380
Asian Airlines,Mumbai,8:10,Rome,First,2168.0,10840,Boeing 747
British Airways,Berlin,4:20,Venice,Economy,134.15,2683,Boeing 767
Air International,Vienna,2:00,Cairo,Business,975.2,9752,McDonnell Douglas MD-11
Indigoo,Chicago,2:20,San Francisco,Business,1041.0,10410,ATR 72
Air Asia,Nairobi,11:50,Manila,Business,1444.1,14441,ATR 72
Delta Airlines,Jakarta,4:00,Budapest,Business,1470.0,14700,Boeing 757
Etihad Airways,Hanoi,7:10,Nairobi,Economy,374.95,7499,Airbus A220
Star Lines,Istanbul,10:10,Manchester,Economy,424.35,8487,Airbus A350
Emirates,Ottawa,4:30,Sydney,First,1569.0,7845,Airbus A320
Gulf Air,Paris,3:00,Istanbul,Business,1286.6,12866,Embraer E190
Iberia Airlines,Melbourne,2:50,Mumbai,First,275.4,1377,Boeing 787
Qatar Airways,Ho Chi Minh City,8:50,Beijing,First,153.6,768,Boeing 767
X-Express,Hanoi,9:10,Madrid,First,2199.8,10999,Boeing 757
X-Express,Buenos Aires,12:00,Venice,Economy,84.3,1686,Airbus A330neo
Air Canada,Abu Dhabi,2:10,Ho Chi Minh City,Business,1299.8,12998,Boeing 757
Air France,Buenos Aires,2:40,Miami,First,1969.2,9846,ATR 72
X-Express,Doha,3:30,Stockholm,First,1046.8,5234,Airbus A350
Lufthansa,Amsterdam,12:50,Abu Dhabi,Economy,35.2,704,Airbus A380
French Bee,Brisbane,7:50,Budapest,First,894.8,4474,Airbus A330
Air International,Delhi,6:50,Mumbai,Economy,243.6,4872,Airbus A319
Singapore Airlines,Edinburgh,6:20,Zurich,First,2134.6,10673,Airbus A330neo
Qatar Airways,Manchester,6:10,Paris,First,904.2,4521,Boeing 737 MAX
Qantas,Mexico City,3:50,Cape Town,First,517.0,2585,ATR 72
Space Jet,Athens,2:20,Vienna,Business,823.9,8239,Bombardier CRJ
Space Jet,Moscow,2:40,Delhi,Economy,312.65,6253,Boeing 747
Singapore Airlines,Bangkok,2:00,San Francisco,Business,132.6,1326,Boeing 747
Indigoo,Jakarta,9:10,Oslo,First,913.2,4566,Boeing 747
Space Jet,Edinburgh,6:20,Vienna,Economy,226.35,4527,Boeing 767
Star Lines,Seoul,5:00,Miami,Business,1229.6,12296,Airbus A330neo
Vistara,Beijing,6:50,Munich,Economy,618.45,12369,Airbus A320
Space Jet,Mumbai,9:00,Budapest,Economy,588.3,11766,Airbus A350
X-Express,Melbourne,9:00,Milan,Economy,116.65,2333,Boeing 757
SAS Scandinavian Airlines,Mexico City,7:10,Abu Dhabi,Business,1263.4,12634,Airbus A330
Qantas,Amsterdam,3:40,Istanbul,First,995.4,4977,McDonnell Douglas MD-80
Southwest Airlines,Texas,9:30,Reykjavik,First,1035.6,5178,Boeing 737 MAX
American Airlines,Kolkata,2:20,Mumbai,Business,1018.1,10181,McDonnell Douglas MD-11
Air International,Buenos Aires,4:20,Sydney,First,1154.4,5772,Airbus A321
Star Lines,Ho Chi Minh City,2:30,Tokyo,First,2776.4,13882,Boeing 747
Singapore Airlines,Sao Paulo,7:00,Manila,First,1940.2,9701,Airbus A320
Delta Airlines,Manchester,5:30,Sydney,First,597.8,2989,Airbus A320
Korean Air,Zurich,8:30,Cairo,Economy,471.05,9421,Airbus A319
Air Asia,Paris,3:20,Brussels,Economy,389.55,7791,Boeing 767
Easy Jet,Chicago,10:50,Berlin,First,801.0,4005,Boeing 787-10
French Bee,Los Angeles,5:40,Reykjavik,Business,1367.6,13676,Boeing 737 MAX
Indigoo,Johannesburg,8:20,Dublin,First,2866.2,14331,Boeing 767
Korean Air,Hanoi,5:00,Sydney,Business,1450.3,14503,Boeing 737 MAX
Korean Air,New York,12:40,Nairobi,First,2047.0,10235,Boeing 737
Air International,Athens,4:50,Buenos Aires,First,1795.2,8976,Airbus A220
Emirates,Edinburgh,3:40,Oslo,Economy,144.7,2894,Boeing 737 MAX
Virgin Atlantic,Berlin,10:20,Venice,Business,381.0,3810,Airbus A330neo
LATAM Airlines,Madrid,2:10,Madrid,Economy,73.25,1465,ATR 72
Iberia Airlines,Hanoi,2:20,Paris,First,285.0,1425,Boeing 787-10
French Bee,Paris,11:50,Hanoi,Economy,317.8,6356,Embraer E190
Korean Air,Istanbul,2:00,Geneva,Business,671.5,6715,Boeing 747
Aeroflot,Melbourne,1:00,Madrid,Business,666.8,6668,McDonnell Douglas MD-11
Alaska Airlines,Buenos Aires,6:40,Toronto,Business,866.2,8662,Airbus A321
Korean Air,Ottawa,5:30,Vienna,First,1679.6,8398,Airbus A320
Thai Airways,Rome,2:00,Los Angeles,Business,898.0,8980,Bombardier CRJ
Southwest Airlines,Oslo,5:20,Vienna,First,306.8,1534,Airbus A330
Qantas,Stockholm,4:40,Kuala Lumpur,First,1753.2,8766,Boeing 787-10
Emirates,Sydney,3:50,Munich,Business,1282.7,12827,Airbus A350
Aeroflot,Zurich,3:40,Toronto,Economy,606.55,12131,Boeing 767
Space Jet,Doha,4:50,Rome,Business,679.0,6790,Airbus A320
Space Jet,Singapore,1:10,Manchester,Business,1028.1,10281,Airbus A380
Virgin Atlantic,Brazil,7:30,Lyon,Business,1360.7,13607,Airbus A220
Lufthansa,Kolkata,7:50,Kuala Lumpur,Business,1424.1,14241,Airbus A320
Qatar Airways,Delhi,1:30,Abu Dhabi,Business,605.8,6058,Boeing 737
Aeroflot,Singapore,10:40,Amsterdam,First,2353.0,11765,Boeing 777
American Airlines,Delhi,1:20,Sao Paulo,Business,1008.1,10081,De Havilland Dash 8
Southwest Airlines,Doha,12:30,Munich,Economy,335.5,6710,Boeing 787-10
X-Express,Shanghai,3:30,Kuala Lumpur,Economy,237.85,4757,Airbus A220
Iberia Airlines,Bangkok,8:40,Beijing,Business,882.0,8820,Boeing 737 MAX
Singapore Airlines,London,3:40,Reykjavik,Business,343.1,3431,Boeing 737 MAX
Gulf Air,Rome,10:20,Dubai,First,342.8,1714,Airbus A330
Air France,Texas,9:00,Chicago,Economy,613.7,12274,Airbus A320
Air Asia,Chennai,1:40,Abu Dhabi,First,1877.8,9389,ATR 72
Cathay Pacific,Mexico City,12:20,Toronto,First,186.6,933,Boeing 737
Malaysia Airlines,Paris,12:30,Ho Chi Minh City,Business,1091.0,10910,De Havilland Dash 8
Alaska Airlines,Buenos Aires,10:10,Mexico City,Economy,261.4,5228,Airbus A330neo
Star Lines,Dublin,10:40,Venice,Business,907.9,9079,Airbus A330neo
Vistara,Edinburgh,11:10,Moscow,First,1451.8,7259,McDonnell Douglas MD-80
Virgin Atlantic,Mumbai,10:00,Manchester,Economy,621.25,12425,McDonnell Douglas MD-11
Qantas,Doha,4:30,Dublin,Business,438.1,4381,Boeing 737 MAX
Air Asia,Athens,12:50,Lyon,Economy,264.25,5285,Embraer E190
LATAM Airlines,Mexico City,12:30,Rome,Economy,218.65,4373,Embraer E190
Lufthansa,Texas,4:40,Ho Chi Minh City,Business,758.4,7584,Boeing 787
Airlines,Abu Dhabi,3:30,Johannesburg,First,726.2,3631,Airbus A321
Qantas,Stockholm,3:30,Sao Paulo,Economy,273.3,5466,Boeing 787
Turkish Airlines,Los Angeles,7:00,Paris,Economy,87.65,1753,Airbus A350
Japan Airlines,Lisbon,6:30,Ho Chi Minh City,Economy,293.3,5866,Boeing 747
United Airlines,Dublin,6:10,Dubai,First,1789.8,8949,ATR 72
Air Canada,Hong Kong,2:10,Dhaka,First,2737.2,13686,Airbus A220
Etihad Airways,Hanoi,6:40,Paris,Business,233.4,2334,Boeing 777X
Virgin Atlantic,Zurich,8:20,Dubai,Business,121.5,1215,ATR 72
Space Jet,Cairo,7:20,Beijing,First,2260.8,11304,Boeing 737
Vistara,Brazil,7:50,Paris,Economy,57.75,1155,De Havilland Dash 8
Air Canada,Hong Kong,8:10,Paris,Economy,654.8,13096,McDonnell Douglas MD-11
Qatar Airways,Manila,9:10,Los Angeles,Economy,538.25,10765,De Havilland Dash 8
X-Express,Buenos Aires,9:00,Hanoi,Business,904.3,9043,Boeing 737 MAX
Emirates,Johannesburg,6:50,Venice,First,2943.0,14715,Airbus A320
Asian Airlines,Moscow,5:50,Helsinki,Economy,539.0,10780,Airbus A321
Air International,Beijing,12:00,Warsaw,Business,233.5,2335,Airbus A319
X-Express,Abu Dhabi,8:00,Lyon,Economy,307.0,6140,Airbus A220
Cathay Pacific,Lisbon,12:40,Mexico City,Business,1262.9,12629,Boeing 737 MAX
Thai Airways,Hanoi,2:00,Istanbul,Economy,234.0,4680,Boeing 787
Lufthansa,Sydney,1:20,Kuala Lumpur,Business,653.5,6535,Airbus A319
Gulf Air,Johannesburg,8:20,Sydney,Economy,668.75,13375,Boeing 777X
Royal Jordanian,Brazil,12:10,Venice,Business,140.8,1408,Boeing 757
Swiss International Air Lines,Tokyo,5:40,Madrid,Business,948.5,9485,Boeing 777X
Indigoo,Lisbon,1:10,Milan,Economy,670.3,13406,ATR 72
Air International,Buenos Aires,3:40,Toronto,First,1854.6,9273,Airbus A330
SAS Scandinavian Airlines,London,8:00,Johannesburg,Business,237.7,2377,Boeing 747
Aeroflot,Toronto,2:40,Israel,Economy,657.05,13141,Boeing 737
Singapore Airlines,Toronto,10:00,Rome,Business,1445.5,14455,Boeing 787
Alaska Airlines,Brazil,2:20,Amsterdam,Economy,106.95,2139,Boeing 757
Air India,Shanghai,2:40,Munich,Economy,51.75,1035,ATR 72
Air France,Cairo,3:20,Cairo,Business,1107.9,11079,McDonnell Douglas MD-80
Singapore Airlines,Texas,5:10,Milan,Economy,723.3,14466,Airbus A380
Virgin Atlantic,Texas,4:40,Berlin,Economy,254.8,5096,Boeing 737 MAX
SAS Scandinavian Airlines,Istanbul,8:20,Mexico City,Economy,581.9,11638,ATR 72
Royal Jordanian,Mexico City,11:00,Lyon,First,1353.6,6768,Airbus A330neo
Southwest Airlines,Toronto,4:00,Buenos Aires,Business,1355.7,13557,Boeing 757
Swiss International Air Lines,Los Angeles,6:10,Milan,First,2688.2,13441,ATR 72
Airlines,Edinburgh,12:20,Abu Dhabi,Business,299.1,2991,Embraer E190
Korean Air,Melbourne,12:40,Toronto,Economy,126.25,2525,Boeing 777
Japan Airlines,Oslo,9:40,Vancouver,Business,551.6,5516,Airbus A321
SAS Scandinavian Airlines,Toronto,2:20,Dubai,First,2591.2,12956,Boeing 737
Air Asia,Moscow,10:20,Moscow,Business,916.1,9161,Boeing 777
Air France,Edinburgh,2:30,Venice,Economy,136.15,2723,McDonnell Douglas MD-11
Air International,Shanghai,3:00,Dublin,Economy,462.45,9249,Boeing 737
Swiss International Air Lines,Johannesburg,9:30,Israel,First,1882.8,9414,Airbus A319
Air France,Ho Chi Minh City,1:30,Oslo,First,2492.6,12463,ATR 72
Virgin Atlantic,Ho Chi Minh City,10:50,New York,Business,246.7,2467,Airbus A321
Japan Airlines,Hanoi,10:30,Rio de Janeiro,Business,1103.1,11031,Boeing 787
Asian Airlines,Zurich,5:00,Moscow,First,2078.2,10391,Airbus A330neo
Cathay Pacific,Buenos Aires,2:10,Prague,First,1952.4,9762,Embraer E190
Gulf Air,Kuala Lumpur,12:30,Nairobi,Economy,423.6,8472,Boeing 777X
Etihad Airways,Chennai,6:00,Sao Paulo,First,2529.8,12649,McDonnell Douglas MD-11
Asian Airlines,Barcelona,4:40,Miami,First,2601.0,13005,Boeing 737
United Airlines,Istanbul,2:20,Dublin,Business,483.3,4833,Airbus A320
French Bee,Manila,7:00,Chicago,Economy,138.15,2763,McDonnell Douglas MD-11
Virgin Atlantic,Seoul,7:50,Cape Town,Business,1443.9,14439,Boeing 757
Lufthansa,Kolkata,9:40,New York,Business,286.1,2861,Airbus A321
Lufthansa,Jakarta,6:20,Dubai,Business,236.2,2362,De Havilland Dash 8
Go First,Mexico City,2:30,Delhi,First,148.6,743,Airbus A330
Qatar Airways,Abu Dhabi,12:20,Madrid,Economy,729.2,14584,Airbus A380
Go First,Dubai,7:10,Sydney,Business,657.6,6576,Airbus A330
Air International,Ottawa,3:50,Cape Town,First,2456.2,12281,Airbus A220
Swiss International Air Lines,Istanbul,2:30,Mexico City,First,2691.2,13456,Airbus A330
Easy Jet,Ho Chi Minh City,3:10,Miami,First,2547.4,12737,Embraer E190
Virgin Atlantic,Paris,11:50,Kuala Lumpur,First,1522.6,7613,Boeing 737
Vistara,Hanoi,8:20,Manchester,First,979.4,4897,Airbus A350
Qatar Airways,Shanghai,11:10,Moscow,Economy,569.1,11382,De Havilland Dash 8
Vistara,Brisbane,12:20,Mumbai,Economy,649.75,12995,Boeing 767
Air India,Paris,5:30,Israel,Business,691.5,6915,Boeing 757
Air Canada,Lisbon,4:50,Paris,Economy,225.2,4504,Embraer E190
French Bee,Hong Kong,3:20,Dhaka,Economy,286.25,5725,De Havilland Dash 8
Malaysia Airlines,Hanoi,12:50,Beijing,Business,1493.9,14939,McDonnell Douglas MD-80
Indigoo,Manila,7:10,Reykjavik,First,213.4,1067,Boeing 777
Cathay Pacific,Moscow,6:30,Budapest,Economy,155.9,3118,Boeing 787-10
Etihad Airways,Beijing,1:20,Rio de Janeiro,Business,645.1,6451,Airbus A319
Virgin Atlantic,Ottawa,6:10,Mexico City,First,1633.2,8166,Airbus A321
Swiss International Air Lines,Vienna,10:00,Abu Dhabi,Economy,708.5,14170,Boeing 787
Malaysia Airlines,Amsterdam,9:40,Athens,Business,250.8,2508,Boeing 777X
X-Express,Edinburgh,7:00,San Francisco,First,2944.0,14720,Airbus A350
Swiss International Air Lines,Abu Dhabi,4:40,Reykjavik,First,701.2,3506,Airbus A321
Asian Airlines,Rome,9:40,Bangkok,First,1073.2,5366,Airbus A330
Malaysia Airlines,Buenos Aires,9:00,Singapore,Business,240.6,2406,Bombardier CRJ
United Airlines,Zurich,10:10,Reykjavik,Economy,62.65,1253,De Havilland Dash 8
Delta Airlines,Chennai,11:20,Sydney,Economy,741.85,14837,Airbus A320
Iberia Airlines,Los Angeles,11:00,Buenos Aires,First,1932.6,9663,Bombardier CRJ
Air India,Paris,8:50,Beijing,Business,1433.2,14332,Airbus A220
French Bee,Amsterdam,6:40,Reykjavik,Business,1489.7,14897,Boeing 777
Singapore Airlines,Copenhagen,7:50,Chicago,First,1690.2,8451,De Havilland Dash 8
Air International,Istanbul,7:30,Bangkok,Economy,64.35,1287,Boeing 737 MAX
Go First,Beijing,1:30,Dubai,Business,958.8,9588,Embraer E190
Cathay Pacific,Manila,7:20,St. Petersburg,Business,1234.3,12343,De Havilland Dash 8
Malaysia Airlines,Bangkok,12:30,Vienna,Economy,350.9,7018,Bombardier CRJ
Qantas,Ho Chi Minh City,9:30,Oslo,Economy,282.55,5651,De Havilland Dash 8
Space Jet,Zurich,1:20,Chicago,Economy,525.45,10509,Boeing 747
SAS Scandinavian Airlines,Singapore,2:50,Manila,First,399.4,1997,Boeing 787-10
Iberia Airlines,Doha,4:30,Oslo,First,598.2,2991,Airbus A320
Royal Jordanian,Barcelona,1:10,Jakarta,First,1478.6,7393,De Havilland Dash 8
Etihad Airways,Brisbane,10:10,Lyon,Business,941.9,9419,Airbus A220
Turkish Airlines,Chicago,8:30,Dubai,Business,853.9,8539,ATR 72
Singapore Airlines,Seoul,7:30,Prague,First,479.0,2395,Boeing 777
LATAM Airlines,Jakarta,3:30,Brussels,First,2975.2,14876,Boeing 757
Air India,Stockholm,4:50,Dublin,First,1382.2,6911,Airbus A319
Etihad Airways,Kolkata,12:50,San Francisco,Business,1346.6,13466,ATR 72
Royal Jordanian,Abu Dhabi,12:30,Hong Kong,First,831.2,4156,Airbus A220
X-Express,Berlin,12:50,Beijing,Economy,723.9,14478,Boeing 767
Iberia Airlines,Zurich,5:20,Bangkok,Economy,202.8,4056,Airbus A330neo
Air Asia,Seoul,2:50,Lyon,Business,646.3,6463,De Havilland Dash 8
Qatar Airways,Johannesburg,7:00,Cairo,Economy,528.85,10577,Boeing 787-10
Airlines,Barcelona,12:10,Warsaw,First,1968.6,9843,Airbus A330neo
Gulf Air,Ottawa,3:00,Istanbul,First,654.8,3274,Boeing 787-10
Iberia Airlines,Bangkok,6:30,Warsaw,First,1733.2,8666,Airbus A330
Space Jet,Toronto,1:40,Helsinki,Economy,283.8,5676,Bombardier CRJ
SAS Scandinavian Airlines,Paris,9:10,Moscow,Business,995.7,9957,Boeing 787-10
Iberia Airlines,Bangkok,2:40,St. Petersburg,First,2855.4,14277,ATR 72
Swiss International Air Lines,Melbourne,5:40,Milan,Business,212.9,2129,Boeing 747
British Airways,Dubai,7:30,Athens,Business,434.4,4344,De Havilland Dash 8
Vistara,Berlin,4:20,Tokyo,Economy,519.05,10381,Bombardier CRJ
Vistara,Hanoi,7:10,Tokyo,First,985.4,4927,Boeing 787
Alaska Airlines,Lisbon,8:50,Mumbai,First,330.4,1652,Embraer E190
Vistara,Paris,8:30,Los Angeles,First,1982.2,9911,Boeing 747
Go First,Oslo,8:20,Delhi,Business,1496.3,14963,Airbus A220
Japan Airlines,Doha,3:20,Buenos Aires,Business,560.9,5609,ATR 72
Easy Jet,Seoul,6:30,Sao Paulo,Business,1172.8,11728,Boeing 767
SAS Scandinavian Airlines,Hong Kong,8:00,Chicago,First,654.8,3274,Boeing 757
Qantas,Ho Chi Minh City,11:20,Warsaw,First,885.2,4426,Boeing 767
Easy Jet,Nairobi,8:20,Mumbai,First,2090.4,10452,Bombardier CRJ
SAS Scandinavian Airlines,Sao Paulo,7:50,Munich,First,2336.6,11683,Airbus A330
Turkish Airlines,Berlin,11:00,Rome,Business,321.4,3214,Bombardier CRJ
United Airlines,Cairo,1:00,Paris,First,209.8,1049,Airbus A320
LATAM Airlines,Delhi,12:20,Beijing,Business,515.0,5150,Boeing 787-10
Qatar Airways,Johannesburg,9:30,Paris,Economy,444.75,8895,Bombardier CRJ
Air Asia,Zurich,8:30,Moscow,Business,130.4,1304,McDonnell Douglas MD-11
Etihad Airways,Seoul,10:20,Toronto,Economy,156.15,3123,Airbus A320
Southwest Airlines,Hong Kong,5:30,Buenos Aires,Business,183.8,1838,Airbus A319
Malaysia Airlines,Mumbai,1:40,Stockholm,First,2803.2,14016,Airbus A220
LATAM Airlines,Dublin,3:20,Dublin,Business,281.5,2815,Boeing 737
Air Asia,Stockholm,12:00,Buenos Aires,Business,142.2,1422,Boeing 787
Japan Airlines,Manila,11:30,Hong Kong,Business,1277.9,12779,Boeing 787
American Airlines,Tokyo,1:30,Miami,First,2382.0,11910,Airbus A380
Iberia Airlines,Madrid,10:20,Delhi,Economy,115.95,2319,Airbus A380
Asian Airlines,Lisbon,1:20,Moscow,Economy,408.9,8178,Boeing 737 MAX
Royal Jordanian,Lisbon,9:40,Lyon,First,482.4,2412,Airbus A380
Indigoo,Ottawa,7:20,Johannesburg,Economy,665.75,13315,Boeing 787
Alaska Airlines,Singapore,6:20,Toronto,Economy,398.5,7970,Embraer E190
Thai Airways,Manila,1:40,Abu Dhabi,First,1971.8,9859,Bombardier CRJ
American Airlines,Sydney,3:20,Dubai,Economy,722.9,14458,Airbus A320
Air India,Jakarta,3:50,Hong Kong,Business,696.8,6968,McDonnell Douglas MD-11
Air Asia,Jakarta,9:30,Brussels,Economy,251.05,5021,Boeing 747
Alaska Airlines,Jakarta,5:10,Vancouver,Business,521.7,5217,Boeing 757
Air International,Paris,8:10,Hanoi,Economy,581.4,11628,Airbus A330neo
SAS Scandinavian Airlines,Delhi,8:50,New York,Business,1321.8,13218,Bombardier CRJ
Go First,Dublin,3:00,Sydney,Business,1400.5,14005,Airbus A220
SAS Scandinavian Airlines,Copenhagen,9:10,Nairobi,Economy,744.25,14885,Airbus A320
Virgin Atlantic,Sydney,10:00,Athens,First,267.0,1335,Boeing 777X
Air Canada,Ottawa,2:50,Venice,Economy,385.45,7709,Airbus A319
Indigoo,Barcelona,3:10,Warsaw,Business,572.8,5728,Airbus A330
Airlines,Tokyo,10:40,Mexico City,Economy,645.55,12911,De Havilland Dash 8
French Bee,Doha,2:40,Vancouver,Business,166.7,1667,Airbus A319
Vistara,Dublin,2:40,Miami,First,704.4,3522,De Havilland Dash 8
Air France,Kolkata,7:50,Rome,Business,876.8,8768,Boeing 767
Air Canada,Hanoi,9:30,Paris,First,2229.4,11147,Boeing 787
Royal Jordanian,Rome,10:00,Dublin,Economy,181.85,3637,McDonnell Douglas MD-11
SAS Scandinavian Airlines,Toronto,2:20,Manchester,Business,1279.7,12797,Airbus A330
Air France,Berlin,12:00,San Francisco,Business,1348.9,13489,Boeing 777
Air Canada,Mumbai,8:20,Dubai,Economy,189.75,3795,Boeing 787
United Airlines,Amsterdam,3:30,Amsterdam,Business,1053.1,10531,Embraer E190
Air Asia,Paris,2:50,Dhaka,Business,1298.3,12983,Boeing 787
Air Asia,Bangkok,5:00,Bangkok,Economy,432.7,8654,Airbus A330
SAS Scandinavian Airlines,Brazil,9:40,Ho Chi Minh City,First,2894.6,14473,Embraer E190
