text,label,relationship_stage,medium,trigger
What do you think about schedule?,2,long_distance,email,happiness
You bring world to my life.,4,breaking_up,email,conflict
You never think about my thoughts.,1,breaking_up,email,milestone
Just wondering about mood.,2,breaking_up,email,separation
Let’s not arguing about this now.,3,married,in_person,stress
I’m sorry about earlier. Let’s share and move on.,6,long_distance,text,happiness
I don’t trust you when you catch up with others.,5,early_dating,email,happiness
Any plans for mood?,2,committed,email,separation
I’m tired of your arguments games.,0,early_dating,email,happiness
"I dream you, but I’m angry about our behavior issues., 😢",8,married,in_person,separation
Any plans for vibe?,2,breaking_up,phone,milestone
I’m trying to be honest with you.,7,long_distance,in_person,conflict
I’m not sure I want to hash out.,3,breaking_up,in_person,stress
"I adore you, but I’m frustrated about our behavior. 😢",8,early_dating,in_person,milestone
Being with you feels safe.,4,long_distance,text,conflict
Let’s table this conversation for now.,3,early_dating,phone,stress
You’re spending too much time chill with them.,5,committed,phone,conflict
I want us to be happy together.,6,early_dating,text,happiness
Can we discuss my feelings?,7,early_dating,text,stress
"Yo, how’s your vibe going?",2,breaking_up,in_person,separation
"I’m special about our relationship, but I need more everything effort from you. 💪",8,early_dating,text,conflict
I’m worried about your chat with them.,5,married,email,separation
I’m sorry about earlier. Let’s share and move on.,6,breaking_up,email,stress
Your arguments is really getting on my nerves.,1,committed,in_person,happiness
You’re my forever everything.,4,early_dating,in_person,milestone
Do you talk with them often?,5,committed,phone,stress
"You’re my mi amor, but I’m worried about our excuses. 😬",8,married,text,happiness
I can’t wait to build with you.,4,committed,phone,happiness
Can we chat later?,2,married,in_person,stress
"I want to create, but I need some world time to think. 🕰️",8,breaking_up,phone,stress
I’m worried about our future. Can we catch up?,7,breaking_up,email,milestone
"Let’s avoid this for now, okay?",3,committed,phone,happiness
Let’s chat and see what happens.,2,early_dating,in_person,stress
I’m committed to making this work.,6,early_dating,text,stress
I’m amazing when we’re together.,4,early_dating,text,separation
You’re just trying to push the situation.,0,early_dating,in_person,stress
Want to join me for catch up?,2,committed,text,conflict
I feel left out when you talk with others.,5,committed,phone,separation
I feel insecure when you chill with them.,5,breaking_up,in_person,milestone
I’m not sure if I’m doing this right. Can you {support_action} me?,7,early_dating,email,happiness
I need some distance right now.,3,committed,text,stress
Can we chill and start fresh?,6,early_dating,phone,separation
I’m so ignored about your arguments.,1,long_distance,email,milestone
Who were you chill with? I’m feeling frustrated.,5,married,email,separation
Why do you always have to arguing like this?,1,committed,email,conflict
I don’t trust you when you blaming me.,0,breaking_up,text,conflict
I don’t want to bickering anymore.,1,married,email,happiness
I think the way you spend.,4,breaking_up,phone,happiness
"I’m here for you, and I want us to work through this.",6,committed,in_person,conflict
Your lying is causing so much stress.,1,breaking_up,in_person,milestone
"I want to share, but I need some heart time to think. 🕰️",8,breaking_up,phone,stress
I’m sorry for my part in our {conflict_noun}.,6,early_dating,phone,milestone
Let’s spend and move forward.,6,breaking_up,text,conflict
I’d rather skip this conversation.,3,early_dating,email,conflict
You keep blaming me and it’s cold.,1,committed,phone,separation
I don’t want to lose you. Let’s talk this.,6,committed,phone,stress
I’m just not in the mood to go over rn.,3,breaking_up,email,separation
"I’m loved about our future, but I need some joy changes. 🌟",8,married,text,milestone
You need to stop ignoring me now.,1,breaking_up,in_person,happiness
Want to join me for chill?,2,committed,phone,milestone
How was your schedule today?,2,married,in_person,conflict
Let’s talk and see what happens.,2,committed,email,happiness
I’m thinking about week.,2,breaking_up,in_person,happiness
Why are you chat with them and not me?,5,committed,email,separation
Let’s chat and see what happens.,2,early_dating,in_person,separation
I adore you more every hour.,4,long_distance,text,milestone
You keep shutting down and it’s annoying.,1,breaking_up,text,happiness
Let’s not clashing about this now.,3,early_dating,phone,separation
How was your week today?,2,early_dating,text,happiness
Can we chat later?,2,married,text,separation
Let’s focus on {different_topic}.,3,married,in_person,stress
How’s your day going with plan?,2,long_distance,in_person,stress
I need your honesty. Can we sort out?,7,married,phone,stress
I’m thinking about vibe.,2,breaking_up,email,separation
"You’re my everything, but I’m ignored about our arguments. 😔",8,early_dating,email,separation
Can we discuss this calmly?,6,long_distance,phone,happiness
I’m feeling unsure about this.,3,long_distance,in_person,milestone
I value our relationship. Can we talk?,6,breaking_up,phone,separation
I feel betrayed when you hang out with someone else.,5,long_distance,text,milestone
"I’m here for you, and I want us to work through this.",6,early_dating,email,conflict
I’m sorry about earlier. Let’s spend and move on.,6,married,email,milestone
Do this or I’ll leave.,0,breaking_up,in_person,happiness
I’m sorry about earlier. Let’s share and move on.,6,committed,email,happiness
I’m scared I’m not enough for you. Can we sort out?,7,breaking_up,email,milestone
Any plans for week?,2,committed,phone,separation
Are you chat with someone else?,5,long_distance,text,stress
I’m so frustrated with you right now!,1,long_distance,email,milestone
You need to do what I say or else.,0,early_dating,phone,stress
Why do you always meet up with them instead of me?,5,committed,in_person,happiness
Can we talk about this {delay_time}?,3,early_dating,email,happiness
I’m feeling overwhelmed by {topic}.,3,married,phone,conflict
We need to talk about your arguments.,1,early_dating,phone,conflict
"I’m special about our relationship, but I need more heart effort. 💪",8,committed,in_person,stress
"Let’s catch up this weekend, cool?",2,long_distance,text,conflict
You’re the perfect one for me.,4,long_distance,email,milestone
Your lying is causing so much stress.,1,breaking_up,text,conflict
You bring babe to my life.,4,long_distance,email,happiness
I’m trying to be honest with you.,7,early_dating,in_person,separation
I’m scared to share my true feelings. Will you {listen_action}?,7,committed,in_person,separation
Why can’t you just change for once?,0,breaking_up,email,stress
I’m committed to making this work.,6,early_dating,email,conflict
"You’re my everything, babe!",4,committed,in_person,happiness
I’m not sure if I’m doing this right. Can you {support_action} me?,7,married,phone,conflict
I feel threatened by your chill with them.,5,early_dating,phone,happiness
Let’s put this {conflict_noun} behind us.,6,long_distance,in_person,milestone
"I want to build, but I need some heart time to reflect. 🕰️",8,married,email,separation
"I feel so off opening up, but I trust you.",7,married,text,happiness
I’m so unimportant with you right now!,1,committed,in_person,stress
You’re my forever mi amor.,4,committed,phone,conflict
Let’s focus on {different_topic}.,3,committed,email,conflict
What’s up with week?,2,breaking_up,email,happiness
I don’t trust you when you blaming me.,0,breaking_up,in_person,conflict
I feel betrayed when you hang out with someone else.,5,long_distance,text,separation
"I love you, but why do you keep shutting down? 😕",8,married,phone,happiness
You’re my forever world.,4,married,in_person,separation
How was your plan today?,2,early_dating,text,conflict
Being with you is special.,4,early_dating,text,conflict
"You’re my everything, babe!",4,long_distance,in_person,happiness
I feel left out when you meet up with others.,5,breaking_up,in_person,separation
I want us to be happy together.,6,married,phone,happiness
I’m just not in the mood to sort out rn.,3,married,text,separation
Want to join me for chill?,2,committed,in_person,separation
Let’s catch up on mood.,2,long_distance,email,stress
"Let’s talk this weekend, cool?",2,committed,in_person,happiness
Let’s meet up sometime.,2,committed,phone,happiness
I’m uncomfortable with you hang out with them.,5,long_distance,phone,stress
I’m afraid of losing you. Can we sort out?,7,breaking_up,text,separation
I don’t want to lose you. Let’s talk this.,6,breaking_up,in_person,milestone
Can we catch up another time?,3,committed,phone,stress
Are you chill with them more than me?,5,committed,text,milestone
You’re spending too much time meet up with them.,5,long_distance,email,milestone
You’re trying to push me again.,0,committed,text,milestone
I value our relationship. Can we hang out?,6,breaking_up,phone,milestone
I’m worried about our memories. Can we meet up?,7,long_distance,in_person,conflict
I feel exposed when we plan.,7,long_distance,phone,conflict
Can we go over this later?,3,early_dating,email,separation
I’m tired of your excuses games.,0,committed,phone,happiness
Can we just catch up and forget this games?,6,long_distance,email,conflict
I’m afraid of losing you. Can we sort out?,7,committed,text,stress
You’re the world of my dreams.,4,married,email,milestone
I feel threatened by your catch up with them.,5,married,in_person,milestone
I need a break from {topic}.,3,long_distance,email,happiness
I can’t stand when you blaming me.,1,early_dating,in_person,conflict
You always fighting to get your way.,0,married,email,milestone
I don’t want to lose you. Let’s discuss this.,6,early_dating,phone,stress
"I cherish our time together, but I need some world space. 🤗",8,breaking_up,phone,stress
"I want to share with you, but I need some babe clarity. 💡",8,committed,in_person,milestone
I don’t trust you when you blaming me.,0,breaking_up,in_person,milestone
Let’s not bickering about this now.,3,breaking_up,email,separation
I’m sorry about earlier. Let’s plan and move on.,6,married,text,stress
You only {positive_action} when it benefits you.,0,early_dating,email,stress
You always ignoring me to manipulate me.,0,breaking_up,phone,milestone
You’re the everything of my dreams.,4,married,in_person,milestone
Any plans for mood?,2,long_distance,text,milestone
You’re the mi amor of my dreams.,4,breaking_up,phone,conflict
I can’t stand when you ignoring me.,1,married,email,conflict
You make every minute special.,4,married,text,happiness
"I’m amazing about our love, but I need more mi amor communication. 💕",8,married,text,separation
How’s your day going with vibe?,2,married,in_person,separation
I feel insecure when you hang out with them.,5,long_distance,email,milestone
I’m tired of fighting with you.,1,early_dating,text,stress
I’m worried about your meet up with them.,5,married,in_person,conflict
You’re always ignoring me and it’s exhausting.,1,committed,phone,separation
"I’m grateful when we’re together, but I need you to {positive_action} more. 😊",8,long_distance,in_person,milestone
Are you chat with them more than me?,5,committed,in_person,separation
"You’re my babe, but I’m worried about our attitude. 😬",8,committed,text,milestone
I feel frustrated about you talk with them.,5,committed,phone,conflict
You only {positive_action} when it benefits you.,0,breaking_up,in_person,milestone
"Hey, what’s schedule like?",2,breaking_up,in_person,separation
You’re the heart of my dreams.,4,breaking_up,in_person,conflict
Your arguments is really getting on my nerves.,1,committed,text,separation
I need you to know how I really feel.,7,married,email,stress
I don’t know how much more {conflict_noun} I can handle.,1,married,in_person,separation
You only {positive_action} when it benefits you.,0,breaking_up,phone,milestone
I’m feeling confused about this.,3,long_distance,in_person,happiness
I’m opening up to you because I trust you.,7,early_dating,text,stress
How was your week today?,2,early_dating,phone,conflict
Why can’t you just {positive_action} for once?,1,married,email,separation
I’m committed to making this work.,6,long_distance,in_person,separation
I’m sorry about earlier. Let’s build and move on.,6,long_distance,text,separation
I’d rather not arguing about this.,3,long_distance,phone,separation
Are you hang out with someone else?,5,early_dating,email,happiness
You always lying to get your way.,0,committed,phone,conflict
You’re the babe of my dreams.,4,long_distance,in_person,stress
Any plans for schedule?,2,breaking_up,text,separation
You’re making me feel angry on purpose.,0,married,text,conflict
I’m tired of your secrets games.,0,committed,phone,stress
I feel like I’m taking a risk by {vulnerable_action}.,7,long_distance,text,happiness
I value our relationship. Can we meet up?,6,early_dating,text,milestone
Let’s table this conversation for now.,3,early_dating,text,milestone
What do you think about vibe?,2,committed,text,happiness
Can we talk about this later?,3,breaking_up,in_person,happiness
Are you talk with them more than me?,5,long_distance,text,stress
How’s your week going?,2,committed,email,conflict
Being with you is beautiful.,4,married,phone,stress
I’m special when we’re together.,4,breaking_up,in_person,conflict
I’m worried about our life. Can we catch up?,7,long_distance,in_person,conflict
I’m incredible when we’re together.,4,long_distance,text,separation
I don’t want to lose you. Let’s talk this.,6,long_distance,email,conflict
Let’s catch up and see what happens.,2,committed,text,separation
Why are we always arguing?,1,married,email,milestone
I’m tired of your attitude games.,0,long_distance,in_person,milestone
What do you think about plan?,2,married,text,milestone
I’m worried about your talk with them.,5,married,phone,happiness
I feel frustrated about our relationship.,7,early_dating,email,milestone
What’s new with your day?,2,committed,email,stress
You need to make it right to prove your love.,0,married,email,stress
Can we talk about this later?,3,early_dating,in_person,milestone
I don’t know how much more {conflict_noun} I can handle.,1,married,in_person,milestone
"You’re my everything, babe!",4,breaking_up,email,milestone
Can we discuss this {delay_time}?,3,committed,email,conflict
I don’t want to lose you. Let’s discuss this.,6,breaking_up,email,separation
Can we go over this like adults?,6,early_dating,text,stress
I need some breathing room right now.,3,early_dating,phone,conflict
I feel like I’m taking a risk by {vulnerable_action}.,7,married,in_person,separation
I’m afraid of losing you. Can we discuss?,7,married,in_person,stress
I’m scared I’m not enough for you. Can we sort out?,7,married,text,separation
"I’m here for you, and I want us to work through this.",6,early_dating,text,stress
Can we just hang out and forget this secrets?,6,committed,phone,stress
I feel left out when you chill with others.,5,married,in_person,conflict
"I want to plan with you, but I need you to understand me better. 💬",8,early_dating,phone,happiness
I’m feeling overwhelmed by {topic}.,3,early_dating,phone,milestone
"Yo, how’s your week going?",2,breaking_up,in_person,separation
I’m feeling really ignored about this.,7,early_dating,phone,conflict
Can we discuss this {delay_time}?,3,breaking_up,text,stress
Can we just catch up and forget this behavior?,6,long_distance,text,happiness
You need to do what I say or else.,0,committed,phone,milestone
Why were you hang out with them? Am I not enough?,5,long_distance,in_person,stress
I feel angry when you chat with someone else.,5,long_distance,text,milestone
Let’s chat and see what happens.,2,married,phone,stress
"I’m incredible about our relationship, but I need more babe effort. 💪",8,married,text,stress
Can we chill later?,2,married,in_person,stress
Let’s catch up and find a solution.,6,long_distance,phone,stress
Let’s table this conversation for now.,3,long_distance,email,conflict
What’s up with schedule?,2,breaking_up,text,conflict
Why can’t you just make it right for once?,0,committed,phone,separation
Your secrets is really getting on my nerves.,1,married,text,conflict
Can we hash out my feelings?,7,breaking_up,phone,happiness
Are you free to meet up?,2,early_dating,text,stress
"If you really valued me, you’d make it right.",0,married,text,conflict
I don’t trust you when you chat with others.,5,breaking_up,phone,separation
Do you want to catch up with me?,2,married,email,happiness
"I’m wonderful about our relationship, but I need more future effort. 💪",8,early_dating,text,conflict
Do this or I’ll give up.,0,early_dating,in_person,stress
Do you want to meet up with me?,2,breaking_up,in_person,separation
I’m fed up with your behavior attitude.,1,long_distance,email,happiness
I’m scared to share my true feelings. Will you {listen_action}?,7,early_dating,text,happiness
You’re trying to control me again.,0,breaking_up,text,stress
"You’re my everything, babe!",4,married,email,separation
"I love you, and I don’t want this {conflict_noun} to ruin our relationship.",6,long_distance,text,happiness
You need to do what I say or else.,0,married,phone,conflict
Why can’t you just {positive_action} for once?,1,breaking_up,text,separation
"I’m incredible about our relationship, but I need more future effort from you. 💪",8,long_distance,in_person,separation
I’m willing to listen and {compromise_action}.,6,breaking_up,phone,conflict
Do you talk with them often?,5,early_dating,text,happiness
Let’s focus on {different_topic}.,3,committed,phone,stress
I feel vulnerable when you catch up.,7,early_dating,phone,milestone
You’re always hiding things and it’s exhausting.,1,breaking_up,phone,stress
I need you to know how I really feel.,7,early_dating,in_person,happiness
I don’t trust you when you fighting.,0,married,in_person,separation
I don’t like it when you catch up with others.,5,long_distance,email,separation
Let’s put this {conflict_noun} behind us.,6,early_dating,in_person,happiness
I feel like I’m taking a risk by {vulnerable_action}.,7,breaking_up,in_person,milestone
Can we discuss this {delay_time}?,3,long_distance,in_person,milestone
I’m feeling overwhelmed by {topic}.,3,long_distance,email,happiness
Let’s work together to fix this.,6,breaking_up,in_person,conflict
I don’t want this arguments to come between us.,6,committed,text,milestone
Let’s create our babe together.,4,early_dating,phone,separation
Let’s talk and find a solution.,6,breaking_up,phone,conflict
Why do you always have to arguing like this?,1,committed,email,stress
"If you loved me, you’d change.",0,committed,phone,separation
Let’s work together to fix this.,6,committed,phone,milestone
I think you more every moment.,4,early_dating,email,stress
You’re making me feel unimportant on purpose.,0,committed,phone,milestone
I feel exposed when we spend.,7,breaking_up,in_person,conflict
Are you meet up with them more than me?,5,married,text,happiness
Why are you chill with them and not me?,5,married,text,happiness
Can we talk about this {delay_time}?,3,early_dating,text,separation
Give me some space to think.,3,committed,text,milestone
You’re my forever babe.,4,long_distance,in_person,happiness
I feel hurt about our relationship.,7,long_distance,text,separation
Can we talk about this {delay_time}?,3,married,phone,stress
Let’s not disagreeing about this now.,3,breaking_up,phone,separation
"Let’s catch up this weekend, cool?",2,long_distance,phone,stress
Are you free to hang out?,2,breaking_up,phone,conflict
I’m afraid of being hurt. Can you {reassure_action} me?,7,committed,in_person,happiness
You’re my forever everything.,4,long_distance,email,happiness
I dream our love moments.,4,committed,text,milestone
"I dream you, but why do you keep ignoring me? 😕",8,breaking_up,email,milestone
"You’re my everything, babe!",4,married,phone,separation
"I’m happy about our future, but I need some babe changes. 🌟",8,committed,in_person,milestone
I’d rather not disagreeing about this.,3,long_distance,text,stress
I’m afraid of losing you. Can we hash out?,7,committed,text,milestone
What’s up with day?,2,breaking_up,text,separation
You need to do what I say or else.,0,married,text,conflict
I’m afraid of losing you. Can we discuss?,7,early_dating,email,happiness
I’m so blessed when I’m with you.,4,committed,email,conflict
"Hey, what’s week like?",2,breaking_up,in_person,separation
Are you free to meet up?,2,committed,text,stress
You only {positive_action} when it benefits you.,0,married,email,stress
Let’s cherish our heart together.,4,married,text,conflict
I’m tired of your attitude games.,0,committed,phone,happiness
Stop ignoring me with me.,1,married,email,happiness
"I feel so unsure opening up, but I trust you.",7,breaking_up,text,milestone
Can we talk this calmly?,6,long_distance,in_person,stress
"I feel so off opening up, but I trust you.",7,early_dating,in_person,milestone
I feel angry about our relationship.,7,committed,email,separation
Can we address this later?,3,married,email,happiness
You always fighting to get what you want.,0,married,phone,stress
I feel left out when you talk with others.,5,married,phone,milestone
Let’s not clashing about this now.,3,early_dating,in_person,conflict
I don’t want to lose you. Let’s go over this.,6,married,email,stress
Can we catch up another time?,3,breaking_up,phone,conflict
Can we chat another time?,3,married,in_person,separation
You need to do what I say or else.,0,married,text,stress
Why were you chill with them? Am I not enough?,5,breaking_up,text,happiness
I’m so ignored with you right now!,1,long_distance,text,milestone
I want us to be happy together.,6,married,phone,milestone
Why are you talk with them and not me?,5,breaking_up,email,milestone
I don’t like the way you catch up with them.,5,committed,text,milestone
Give me some breathing room to think.,3,long_distance,phone,milestone
You need to stop fighting now.,1,long_distance,in_person,milestone
Can we discuss this later?,3,committed,email,separation
I’m scared to share my true feelings. Will you {listen_action}?,7,long_distance,phone,milestone
You never {positive_action} unless I step up.,0,married,email,stress
"I adore our time together, but I need some babe space. 🤗",8,married,phone,conflict
I trust you with my deepest fears. Can we chat?,7,breaking_up,text,separation
"I’m grateful about our future, but I need you to {positive_action} more. 😊",8,early_dating,in_person,separation
You only {positive_action} when it benefits you.,0,committed,phone,conflict
I’m feeling distant about this.,3,long_distance,email,milestone
"You’re my future, but I’m frustrated about this situation. 😔",8,early_dating,phone,milestone
You never respect my dreams.,1,married,phone,milestone
I don’t like the way you hang out with them.,5,committed,in_person,milestone
You need to do what I say or else.,0,married,email,separation
I’m not ready for understand.,3,married,phone,conflict
I need some time right now.,3,early_dating,text,separation
"If you really valued me, you’d make it right.",0,breaking_up,email,happiness
Can we just chat and forget this arguments?,6,early_dating,email,stress
Let’s not clashing about this now.,3,long_distance,email,separation
Why are you talk with them and not me?,5,committed,phone,separation
I’m feeling really ignored about this.,7,early_dating,phone,separation
I don’t trust you when you meet up with others.,5,married,in_person,happiness
I feel exposed when we create.,7,committed,text,conflict
Let’s put this {conflict_noun} behind us.,6,early_dating,phone,stress
Can we deal with this later?,3,early_dating,text,happiness
"I dream our time together, but I need some mi amor space. 🤗",8,married,text,milestone
I’m tired of shutting down with you.,1,committed,text,stress
I feel vulnerable when you chat.,7,committed,email,happiness
I need you to know how I really feel.,7,breaking_up,phone,stress
I’m afraid of losing you. Can we hash out?,7,committed,in_person,separation
Let’s talk and find a solution.,6,early_dating,email,conflict
Can we meet up and start fresh?,6,breaking_up,in_person,conflict
"I feel so unsure opening up, but I trust you.",7,committed,in_person,separation
I’d rather not arguing about this.,3,early_dating,text,happiness
"You’re my heart, always.I’m wonderful with you by my side.",4,long_distance,text,conflict
Can we meet up and start fresh?,6,long_distance,email,milestone
I don’t want this excuses to come between us.,6,married,phone,stress
I’m only happy when you change.,0,breaking_up,text,conflict
Want to join me for talk?,2,long_distance,phone,conflict
You never think about my needs.,1,committed,in_person,milestone
You always shutting down to manipulate me.,0,married,email,conflict
You need to fix this to prove your love.,0,breaking_up,email,happiness
Why can’t you just change for once?,0,long_distance,text,separation
Let’s catch up on mood.,2,breaking_up,phone,milestone
"You’re my everything, but I’m worried about our behavior. 😬",8,long_distance,in_person,happiness
Let’s hang out sometime.,2,committed,phone,milestone
"I’m happy when we’re together, but I’m ignored about your ignoring me. 😕",8,long_distance,in_person,conflict
"Yo, how’s your day going?",2,early_dating,text,milestone
We need to talk about your secrets.,1,long_distance,in_person,stress
"I’m here for you, and I want us to work through this.",6,breaking_up,phone,stress
"I feel so distant opening up, but I trust you.",7,committed,phone,conflict
I’m feeling really frustrated about this.,7,breaking_up,email,happiness
You’re the world of my dreams.,4,early_dating,in_person,conflict
I’m committed to making this work.,6,early_dating,email,happiness
I don’t want this arguments to come between us.,6,married,email,separation
Can we just chill and forget this excuses?,6,long_distance,email,happiness
"I feel so off opening up, but I trust you.",7,early_dating,email,milestone
You always ignoring me to manipulate me.,0,breaking_up,in_person,milestone
I’m committed to making this work.,6,married,email,separation
I feel like I’m taking a risk by {vulnerable_action}.,7,long_distance,phone,milestone
I can’t get enough of the way you share.,4,married,in_person,stress
Just wondering about day.,2,early_dating,text,conflict
Let’s catch up and see what happens.,2,long_distance,text,happiness
I need a break from {topic}.,3,breaking_up,phone,conflict
"I’m here for you, and I want us to work through this.",6,married,email,conflict
I’d rather put off this conversation.,3,committed,email,conflict
Why can’t you just {positive_action} for once?,1,early_dating,in_person,happiness
I feel vulnerable when you chat.,7,early_dating,phone,conflict
You make my babe so special.,4,breaking_up,text,stress
I hate when we fighting. Can we chat and fix this?,6,long_distance,text,conflict
I’m afraid of being hurt. Can you {reassure_action} me?,7,breaking_up,text,stress
I’m afraid of losing you. Can we go over?,7,long_distance,phone,milestone
"You’re my babe, but I’m angry about this situation. 😩",8,long_distance,phone,conflict
I’m trying to be honest with you.,7,long_distance,in_person,stress
Being with you feels loved.,4,early_dating,email,milestone
What’s up with plan?,2,committed,email,happiness
"Let’s put off this for now, okay?",3,early_dating,in_person,separation
I feel insecure when you meet up with them.,5,committed,in_person,stress
Let’s cherish and move forward.,6,breaking_up,phone,happiness
This behavior is tearing us apart.,1,committed,in_person,stress
I’d rather not fighting about this.,3,early_dating,phone,happiness
I’m not ready for support.,3,married,text,happiness
I feel overwhelmed about being vulnerable with you.,7,early_dating,phone,happiness
I feel angry when you chill with someone else.,5,married,phone,happiness
Can we hang out later?,2,married,email,stress
How was your vibe today?,2,long_distance,in_person,stress
"I think our moments together, but I’m ignored about your attitude. 😔",8,committed,text,conflict
"Let’s avoid this for now, okay?",3,married,in_person,conflict
You need to do what I say or else.,0,early_dating,in_person,stress
You need to fix this to prove your love.,0,early_dating,in_person,happiness
Are you chat with them more than me?,5,married,text,stress
I’m so ignored about your arguments.,1,long_distance,in_person,milestone
"I feel so distant opening up, but I trust you.",7,committed,phone,stress
"You’re my mi amor, but I’m angry about this situation. 😔",8,breaking_up,text,stress
"I cherish you, but I’m unimportant about our attitude issues., 😢",8,breaking_up,phone,stress
Why are you meet up with them and not me?,5,early_dating,in_person,stress
"I’m incredible about our future, but I’m worried about attitude. 😬",8,committed,email,stress
Are you free to meet up?,2,breaking_up,phone,happiness
"I’m here for you, and I want us to work through this.",6,committed,email,milestone
Can we just catch up and forget this behavior?,6,early_dating,text,milestone
Being with you feels grateful.,4,breaking_up,email,conflict
I cherish the way you cherish.,4,long_distance,in_person,stress
Let’s work together to fix this.,6,married,phone,conflict
I’m sorry about earlier. Let’s plan and move on.,6,early_dating,text,happiness
"You’re my everything, but I’m hurt about this situation. 😢",8,married,in_person,happiness
What’s up with mood?,2,breaking_up,text,conflict
"I want to share with you, but I need some joy clarity. 💡",8,married,phone,happiness
I’m just not in the mood to sort out rn.,3,early_dating,email,happiness
Let’s spend our babe together.,4,early_dating,in_person,separation
I’m so loved when I’m with you.,4,long_distance,email,conflict
I don’t trust you when you ignoring me.,0,long_distance,in_person,stress
I need your honesty. Can we sort out?,7,early_dating,phone,separation
I don’t want to disagreeing anymore.,1,early_dating,text,separation
I feel confused about being vulnerable with you.,7,long_distance,text,milestone
I need you to know how I really feel.,7,long_distance,email,milestone
"I’m angry about this, but I know we can work through it. 💪",8,committed,phone,stress
"I want to share with you, but I need you to understand me better. 💬",8,married,email,happiness
I’m scared I’m not enough for you. Can we sort out?,7,long_distance,text,stress
Let’s hang out and see what happens.,2,married,email,separation
I’m beautiful when we’re together.,4,married,in_person,conflict
"You’re my world, but I’m frustrated about this situation. 😔",8,long_distance,phone,stress
Any plans for day?,2,committed,in_person,conflict
"I’m special about our love, but I need more world communication. 💕",8,early_dating,text,milestone
I’m afraid of losing you. Can we talk?,7,breaking_up,phone,separation
I’m opening up to you because I trust you.,7,breaking_up,phone,milestone
I’m uncomfortable with you chat with them.,5,married,email,separation
This attitude is tearing us apart.,1,long_distance,email,stress
Can we just chat and forget this arguments?,6,early_dating,in_person,stress
"You’re my mi amor, always.I’m wonderful with you by my side.",4,long_distance,in_person,milestone
You’re just trying to guilt-trip the situation.,0,long_distance,phone,happiness
You never {positive_action} unless I prove it.,0,breaking_up,text,conflict
You’re so unfair when you don’t get your way.,0,early_dating,email,conflict
Why can’t you just {positive_action} for once?,1,married,email,stress
Let’s table this conversation for now.,3,breaking_up,email,happiness
I’m fed up with your attitude attitude.,1,breaking_up,email,happiness
I’m so excited when I’m with you.,4,committed,email,conflict
Do you want to hang out with me?,2,early_dating,phone,happiness
Your excuses is really getting on my nerves.,1,married,in_person,conflict
You always lying to get your way.,0,committed,text,conflict
Why can’t you just {positive_action} for once?,1,married,in_person,happiness
You seem really interested in vibe.,5,early_dating,email,milestone
I can’t get enough of you for who you are.,4,breaking_up,email,milestone
Want to join me for talk?,2,long_distance,text,stress
I need some time right now.,3,married,in_person,stress
I value our relationship. Can we chill?,6,long_distance,email,separation
"I feel so confused opening up, but I trust you.",7,breaking_up,email,conflict
I don’t trust you when you meet up with others.,5,breaking_up,phone,stress
I can’t get enough of the way you cherish.,4,committed,phone,milestone
You’re the future of my dreams.,4,early_dating,email,separation
"You make me safe, but your secrets is really cold. 😩",8,married,text,happiness
I need a break from {topic}.,3,committed,text,happiness
You’re trying to push me again.,0,committed,text,stress
"If you loved me, you’d step up.",0,married,text,separation
Just wondering about week.,2,breaking_up,in_person,happiness
Can we address this later?,3,breaking_up,phone,milestone
I’m so unimportant about your excuses.,1,early_dating,email,separation
I’m fed up with your attitude attitude.,1,breaking_up,phone,conflict
This secrets is tearing us apart.,1,committed,text,conflict
"I love our time together, but I need some future space. 🤗",8,committed,phone,happiness
"You make me excited, but your fighting hurts me. 😢",8,breaking_up,phone,happiness
"I’m excited when we’re together, but I’m ignored about your hiding things. 😕",8,married,email,separation
I’m fed up with your secrets attitude.,1,long_distance,in_person,happiness
You’re trying to control me again.,0,long_distance,in_person,milestone
"I want to spend, but I need some joy time to reflect. 🕰️",8,long_distance,phone,happiness
I feel off about being vulnerable with you.,7,committed,in_person,separation
I need you to know I’m feeling betrayed right now.,7,married,text,separation
I feel left out when you hang out with others.,5,breaking_up,text,happiness
Let’s hang out sometime.,2,early_dating,text,stress
"Hey, what’s week like?",2,early_dating,phone,separation
"You’re my mi amor, but I’m ignored about this situation. 😔",8,married,in_person,conflict
"If you loved me, you’d step up.",0,breaking_up,phone,milestone
Why are you meet up with them and not me?,5,early_dating,phone,stress
I feel insecure when you chill with them.,5,long_distance,phone,stress
"You’re my heart, but I’m ignored about this situation. 😔",8,early_dating,phone,happiness
Let’s not clashing about this now.,3,committed,phone,separation
"I’m wonderful about our love, but I need more world communication. 💕",8,long_distance,phone,separation
"I think our relationship, but I need more everything communication. 💬",8,early_dating,phone,happiness
I’m worried about your chill with them.,5,married,in_person,milestone
"You’re my everything, babe!",4,committed,in_person,milestone
Do you want to meet up with me?,2,early_dating,text,stress
I’m not ready for respect.,3,early_dating,in_person,separation
You make every minute special.,4,married,phone,milestone
You always ignoring me to get your way.,0,breaking_up,phone,stress
I need your honesty. Can we sort out?,7,committed,in_person,separation
Do you want to talk with me?,2,long_distance,in_person,conflict
"I want to create with you, but I need some heart clarity. 💡",8,long_distance,email,stress
This excuses is tearing us apart.,1,committed,phone,separation
I can’t get enough of the way you cherish.,4,long_distance,in_person,stress
Can we just hang out and forget this excuses?,6,committed,phone,separation
