id,text,label,Location,Purchase Frequency,Preferred Category,Loyalty Status,Device Used,Subscription Status,Feedback Sentiment Score,Days Since Last Purchase
480,Great service and fast shipping!,Neutral,San Antonio,Medium,Toys,Regular,Mobile,No,-0.0,3
481,The product is amazing! Highly recommend it.,Positive,Houston,Medium,Sports,New,Mobile,Yes,0.97,36
482,"Terrible quality, would not buy again.",Negative,Los Angeles,Medium,Sports,New,Tablet,No,-0.83,5
483,"It's okay, but could be better.",Neutral,Los Angeles,Medium,Electronics,Occasional,Desktop,No,-0.18,20
484,Best purchase ever! Love the features.,Positive,San Antonio,Low,Electronics,New,Mobile,Yes,0.8,3
485,"The delivery was late, and the item was damaged.",Negative,San Antonio,Medium,Toys,New,Tablet,No,-0.68,3
486,Decent product for the price.,Neutral,Philadelphia,Low,Electronics,Regular,Desktop,Yes,-0.01,70
487,Absolutely love this! Worth every penny.,Positive,Chicago,Low,Electronics,New,Mobile,Yes,0.7,88
488,Not worth the money. Save your cash.,Negative,New York,Medium,Sports,Regular,Desktop,Yes,-0.55,47
489,"It works fine, nothing special though.",Neutral,Los Angeles,Low,Toys,Occasional,Desktop,Yes,0.18,37
490,Great service and fast shipping!,Positive,San Antonio,Low,Toys,Occasional,Mobile,Yes,0.84,8
491,The product is amazing! Highly recommend it.,Negative,Philadelphia,Low,Sports,Occasional,Mobile,Yes,-0.75,80
492,"Terrible quality, would not buy again.",Neutral,Phoenix,Low,Clothing,Regular,Tablet,Yes,-0.17,1
493,"It's okay, but could be better.",Positive,Philadelphia,Low,Clothing,Regular,Desktop,No,0.65,78
494,Best purchase ever! Love the features.,Negative,Los Angeles,High,Sports,Occasional,Mobile,Yes,-0.86,45
495,"The delivery was late, and the item was damaged.",Neutral,Los Angeles,Low,Electronics,Regular,Mobile,Yes,-0.18,74
496,Decent product for the price.,Positive,Philadelphia,Medium,Home Goods,Occasional,Desktop,Yes,0.92,10
497,Absolutely love this! Worth every penny.,Negative,New York,Low,Clothing,Occasional,Desktop,Yes,-0.57,86
498,Not worth the money. Save your cash.,Neutral,Houston,High,Clothing,Regular,Desktop,Yes,0.16,95
499,"It works fine, nothing special though.",Positive,Los Angeles,Low,Sports,Regular,Mobile,Yes,0.87,68
500,Great service and fast shipping!,Negative,Philadelphia,High,Sports,Occasional,Mobile,No,-0.64,43
501,The product is amazing! Highly recommend it.,Neutral,San Antonio,Medium,Home Goods,Occasional,Tablet,Yes,-0.01,87
502,"Terrible quality, would not buy again.",Positive,Philadelphia,Low,Home Goods,Regular,Desktop,Yes,0.93,41
503,"It's okay, but could be better.",Negative,Chicago,High,Toys,Regular,Mobile,Yes,-0.74,12
504,Best purchase ever! Love the features.,Neutral,Houston,Medium,Sports,Regular,Mobile,Yes,-0.19,8
505,"The delivery was late, and the item was damaged.",Positive,Phoenix,Low,Clothing,Regular,Desktop,No,0.79,45
506,Decent product for the price.,Negative,New York,Medium,Books,Occasional,Mobile,Yes,-0.8,88
507,Absolutely love this! Worth every penny.,Neutral,Phoenix,High,Books,Occasional,Desktop,No,0.01,1
508,Not worth the money. Save your cash.,Positive,Houston,Medium,Electronics,Occasional,Mobile,Yes,0.72,26
509,"It works fine, nothing special though.",Negative,Houston,Medium,Clothing,New,Desktop,No,-0.75,86
510,Great service and fast shipping!,Neutral,Houston,Medium,Books,Regular,Desktop,No,-0.16,89
511,The product is amazing! Highly recommend it.,Positive,Phoenix,Medium,Clothing,Occasional,Mobile,Yes,0.51,31
512,"Terrible quality, would not buy again.",Negative,San Antonio,High,Sports,Occasional,Desktop,Yes,-0.83,56
513,"It's okay, but could be better.",Neutral,Houston,Medium,Clothing,Occasional,Tablet,Yes,-0.1,98
514,Best purchase ever! Love the features.,Positive,Philadelphia,Low,Books,Occasional,Tablet,Yes,0.63,37
515,"The delivery was late, and the item was damaged.",Negative,Phoenix,High,Clothing,Occasional,Desktop,Yes,-0.53,75
516,Decent product for the price.,Neutral,Houston,Low,Home Goods,Occasional,Tablet,No,0.13,4
517,Absolutely love this! Worth every penny.,Positive,Philadelphia,Low,Electronics,Regular,Mobile,No,0.51,72
518,Not worth the money. Save your cash.,Negative,San Antonio,Medium,Toys,Occasional,Mobile,Yes,-1.0,44
519,"It works fine, nothing special though.",Neutral,Chicago,Medium,Books,Occasional,Desktop,No,0.11,99
520,Great service and fast shipping!,Positive,San Antonio,Low,Sports,New,Mobile,No,0.99,89
521,The product is amazing! Highly recommend it.,Negative,Houston,Medium,Toys,Occasional,Mobile,Yes,-0.77,95
522,"Terrible quality, would not buy again.",Neutral,Phoenix,Medium,Electronics,Occasional,Tablet,No,-0.03,49
523,"It's okay, but could be better.",Positive,Los Angeles,Medium,Home Goods,Occasional,Mobile,Yes,0.64,87
524,Best purchase ever! Love the features.,Negative,Houston,High,Home Goods,New,Mobile,No,-0.67,40
525,"The delivery was late, and the item was damaged.",Neutral,Los Angeles,Medium,Home Goods,New,Tablet,Yes,-0.01,68
526,Decent product for the price.,Positive,Philadelphia,Low,Home Goods,Occasional,Desktop,Yes,0.58,71
527,Absolutely love this! Worth every penny.,Negative,Chicago,Low,Books,Occasional,Desktop,No,-0.76,10
528,Not worth the money. Save your cash.,Neutral,New York,High,Books,Regular,Tablet,Yes,-0.05,70
529,"It works fine, nothing special though.",Positive,San Antonio,Low,Clothing,Occasional,Tablet,No,0.94,95
530,Great service and fast shipping!,Negative,Chicago,Medium,Sports,Occasional,Mobile,Yes,-0.61,4
531,The product is amazing! Highly recommend it.,Neutral,Houston,Medium,Clothing,Occasional,Mobile,Yes,0.08,21
532,"Terrible quality, would not buy again.",Positive,Los Angeles,Medium,Sports,Regular,Desktop,Yes,0.66,42
533,"It's okay, but could be better.",Negative,San Antonio,Low,Electronics,Occasional,Desktop,Yes,-0.93,84
534,Best purchase ever! Love the features.,Neutral,Los Angeles,Medium,Clothing,Regular,Tablet,Yes,0.15,81
535,"The delivery was late, and the item was damaged.",Positive,Phoenix,Medium,Electronics,Occasional,Mobile,No,0.67,6
536,Decent product for the price.,Negative,Los Angeles,High,Electronics,Regular,Tablet,Yes,-0.7,11
537,Absolutely love this! Worth every penny.,Neutral,Phoenix,Low,Electronics,Occasional,Desktop,Yes,0.04,82
538,Not worth the money. Save your cash.,Positive,Philadelphia,Medium,Home Goods,Regular,Desktop,No,0.96,73
539,"It works fine, nothing special though.",Negative,San Antonio,Medium,Toys,Regular,Tablet,Yes,-0.91,12
540,Great service and fast shipping!,Neutral,San Antonio,Medium,Toys,Occasional,Mobile,Yes,0.11,31
541,The product is amazing! Highly recommend it.,Positive,New York,Medium,Books,Regular,Mobile,Yes,0.73,31
542,"Terrible quality, would not buy again.",Negative,Houston,Low,Electronics,Occasional,Tablet,Yes,-0.91,43
543,"It's okay, but could be better.",Neutral,Phoenix,Low,Home Goods,New,Desktop,Yes,0.13,58
544,Best purchase ever! Love the features.,Positive,New York,Medium,Clothing,New,Tablet,No,0.91,50
545,"The delivery was late, and the item was damaged.",Negative,Los Angeles,Medium,Clothing,Regular,Tablet,Yes,-0.98,98
546,Decent product for the price.,Neutral,Los Angeles,Medium,Books,New,Mobile,No,0.08,80
547,Absolutely love this! Worth every penny.,Positive,New York,Low,Books,Regular,Desktop,Yes,0.58,41
548,Not worth the money. Save your cash.,Negative,San Antonio,Low,Electronics,New,Desktop,No,-0.69,76
549,"It works fine, nothing special though.",Neutral,Los Angeles,Low,Electronics,Occasional,Mobile,No,0.06,77
550,Great service and fast shipping!,Positive,Philadelphia,Low,Clothing,Regular,Desktop,Yes,0.83,36
551,The product is amazing! Highly recommend it.,Negative,Philadelphia,Medium,Clothing,Occasional,Desktop,Yes,-0.94,77
552,"Terrible quality, would not buy again.",Neutral,New York,High,Clothing,Regular,Mobile,No,0.04,44
553,"It's okay, but could be better.",Positive,Phoenix,Low,Clothing,Occasional,Desktop,No,0.55,66
554,Best purchase ever! Love the features.,Negative,Phoenix,Medium,Toys,Occasional,Desktop,Yes,-0.63,15
555,"The delivery was late, and the item was damaged.",Neutral,New York,Low,Electronics,Occasional,Tablet,Yes,-0.17,77
556,Decent product for the price.,Positive,Phoenix,Medium,Electronics,Occasional,Desktop,No,0.88,34
557,Absolutely love this! Worth every penny.,Negative,San Antonio,Low,Clothing,New,Tablet,Yes,-0.56,90
558,Not worth the money. Save your cash.,Neutral,San Antonio,High,Home Goods,New,Tablet,Yes,-0.08,70
559,"It works fine, nothing special though.",Positive,Phoenix,Medium,Clothing,Occasional,Tablet,No,0.89,85
560,Great service and fast shipping!,Negative,Philadelphia,High,Sports,Occasional,Mobile,Yes,-0.79,44
561,The product is amazing! Highly recommend it.,Neutral,Phoenix,High,Books,New,Mobile,Yes,0.12,33
562,"Terrible quality, would not buy again.",Positive,San Antonio,Medium,Sports,New,Desktop,No,0.84,79
563,"It's okay, but could be better.",Negative,Chicago,Medium,Home Goods,Regular,Tablet,No,-0.86,99
564,Best purchase ever! Love the features.,Neutral,Houston,Low,Books,Regular,Desktop,Yes,-0.12,92
565,"The delivery was late, and the item was damaged.",Positive,Los Angeles,Medium,Home Goods,Regular,Desktop,No,0.96,6
566,Decent product for the price.,Negative,Chicago,High,Books,Occasional,Desktop,No,-0.58,40
567,Absolutely love this! Worth every penny.,Neutral,Phoenix,Low,Clothing,Regular,Desktop,Yes,0.06,6
568,Not worth the money. Save your cash.,Positive,Philadelphia,High,Clothing,Occasional,Desktop,Yes,0.67,75
569,"It works fine, nothing special though.",Negative,New York,Medium,Home Goods,Occasional,Tablet,No,-0.74,14
570,Great service and fast shipping!,Neutral,Phoenix,High,Books,Occasional,Tablet,Yes,0.02,85
571,The product is amazing! Highly recommend it.,Positive,Philadelphia,High,Toys,Occasional,Tablet,Yes,0.54,84
572,"Terrible quality, would not buy again.",Negative,Houston,Medium,Home Goods,Regular,Tablet,No,-0.51,5
573,"It's okay, but could be better.",Neutral,Phoenix,Medium,Home Goods,New,Mobile,No,-0.16,45
574,Best purchase ever! Love the features.,Positive,San Antonio,Medium,Sports,New,Tablet,No,0.86,59
575,"The delivery was late, and the item was damaged.",Negative,New York,High,Electronics,Occasional,Tablet,No,-0.75,73
576,Decent product for the price.,Neutral,Philadelphia,High,Home Goods,New,Tablet,Yes,0.1,94
577,Absolutely love this! Worth every penny.,Positive,Philadelphia,Medium,Toys,Regular,Mobile,No,0.63,43
578,Not worth the money. Save your cash.,Negative,Philadelphia,Medium,Clothing,Occasional,Desktop,Yes,-0.8,53
579,"It works fine, nothing special though.",Neutral,Houston,Medium,Books,Regular,Mobile,Yes,0.01,27
580,Great service and fast shipping!,Positive,Phoenix,High,Electronics,Occasional,Tablet,Yes,0.56,69
581,The product is amazing! Highly recommend it.,Negative,Houston,Medium,Books,Regular,Tablet,Yes,-0.57,69
582,"Terrible quality, would not buy again.",Neutral,Los Angeles,High,Clothing,Occasional,Mobile,Yes,0.2,48
583,"It's okay, but could be better.",Positive,Los Angeles,Medium,Home Goods,Regular,Desktop,Yes,0.71,79
584,Best purchase ever! Love the features.,Negative,Phoenix,Low,Sports,Occasional,Mobile,No,-0.81,73
585,"The delivery was late, and the item was damaged.",Neutral,San Antonio,Medium,Toys,Regular,Mobile,Yes,0.04,25
586,Decent product for the price.,Positive,Houston,Medium,Electronics,New,Tablet,Yes,0.84,8
587,Absolutely love this! Worth every penny.,Negative,New York,Low,Toys,Occasional,Mobile,Yes,-0.57,78
588,Not worth the money. Save your cash.,Neutral,Philadelphia,Low,Toys,Regular,Mobile,No,-0.05,32
589,"It works fine, nothing special though.",Positive,Philadelphia,Medium,Toys,Regular,Mobile,No,0.88,95
590,Great service and fast shipping!,Negative,Phoenix,Low,Toys,New,Mobile,Yes,-0.88,61
591,The product is amazing! Highly recommend it.,Neutral,San Antonio,Medium,Clothing,Regular,Mobile,No,0.07,87
592,"Terrible quality, would not buy again.",Positive,Los Angeles,Medium,Toys,Occasional,Mobile,Yes,0.73,1
593,"It's okay, but could be better.",Negative,Los Angeles,High,Sports,Occasional,Tablet,No,-0.67,31
594,Best purchase ever! Love the features.,Neutral,Philadelphia,Medium,Toys,Regular,Tablet,Yes,-0.05,71
595,"The delivery was late, and the item was damaged.",Positive,Phoenix,High,Clothing,Regular,Tablet,Yes,0.65,15
596,Decent product for the price.,Negative,Houston,Medium,Books,Occasional,Tablet,Yes,-0.76,70
597,Absolutely love this! Worth every penny.,Neutral,Los Angeles,Low,Clothing,Regular,Mobile,No,0.16,16
598,Not worth the money. Save your cash.,Positive,Houston,Medium,Sports,Regular,Mobile,Yes,0.84,78
599,"It works fine, nothing special though.",Negative,San Antonio,Medium,Sports,Regular,Mobile,Yes,-0.69,81
600,Great service and fast shipping!,Neutral,Los Angeles,Medium,Home Goods,Regular,Mobile,No,0.09,74
601,The product is amazing! Highly recommend it.,Positive,Los Angeles,Low,Clothing,Regular,Tablet,Yes,0.86,93
602,"Terrible quality, would not buy again.",Negative,Chicago,Medium,Books,New,Tablet,No,-0.85,72
603,"It's okay, but could be better.",Neutral,Los Angeles,Low,Home Goods,Occasional,Mobile,Yes,-0.11,57
604,Best purchase ever! Love the features.,Positive,New York,Medium,Home Goods,Occasional,Mobile,Yes,0.75,11
605,"The delivery was late, and the item was damaged.",Negative,Phoenix,Low,Electronics,Regular,Mobile,No,-0.93,18
606,Decent product for the price.,Neutral,Phoenix,Medium,Toys,Regular,Mobile,No,-0.01,45
607,Absolutely love this! Worth every penny.,Positive,Houston,Medium,Home Goods,New,Desktop,No,0.85,20
608,Not worth the money. Save your cash.,Negative,San Antonio,Low,Home Goods,Occasional,Desktop,Yes,-1.0,80
609,"It works fine, nothing special though.",Neutral,Los Angeles,Medium,Sports,Regular,Desktop,No,-0.16,91
610,Great service and fast shipping!,Positive,New York,Medium,Books,Occasional,Desktop,Yes,0.98,87
611,The product is amazing! Highly recommend it.,Negative,Houston,High,Home Goods,Occasional,Mobile,Yes,-0.54,14
612,"Terrible quality, would not buy again.",Neutral,Chicago,High,Books,New,Mobile,No,-0.03,76
613,"It's okay, but could be better.",Positive,Houston,Medium,Toys,Regular,Mobile,Yes,0.8,27
614,Best purchase ever! Love the features.,Negative,Houston,Medium,Sports,Occasional,Desktop,Yes,-0.92,77
615,"The delivery was late, and the item was damaged.",Neutral,Los Angeles,Medium,Electronics,Occasional,Desktop,No,-0.07,80
616,Decent product for the price.,Positive,Chicago,Medium,Electronics,New,Mobile,Yes,0.9,97
617,Absolutely love this! Worth every penny.,Negative,Houston,Low,Toys,New,Desktop,Yes,-0.57,88
618,Not worth the money. Save your cash.,Neutral,New York,Medium,Toys,Regular,Tablet,Yes,-0.04,76
619,"It works fine, nothing special though.",Positive,New York,Medium,Sports,Occasional,Desktop,No,0.66,9
620,Great service and fast shipping!,Negative,Phoenix,Low,Sports,Occasional,Desktop,Yes,-0.66,13
621,The product is amazing! Highly recommend it.,Neutral,Chicago,Medium,Clothing,Occasional,Desktop,Yes,0.09,45
622,"Terrible quality, would not buy again.",Positive,Chicago,Medium,Home Goods,New,Desktop,Yes,0.99,8
623,"It's okay, but could be better.",Negative,Phoenix,Medium,Home Goods,New,Mobile,Yes,-0.65,56
624,Best purchase ever! Love the features.,Neutral,Houston,Low,Home Goods,Regular,Tablet,No,-0.1,82
625,"The delivery was late, and the item was damaged.",Positive,Chicago,Medium,Books,Regular,Mobile,Yes,0.53,91
626,Decent product for the price.,Negative,New York,Medium,Clothing,Occasional,Desktop,Yes,-0.87,97
627,Absolutely love this! Worth every penny.,Neutral,New York,Medium,Home Goods,Regular,Desktop,No,-0.11,7
628,Not worth the money. Save your cash.,Positive,Los Angeles,Medium,Books,Regular,Desktop,Yes,0.55,77
629,"It works fine, nothing special though.",Negative,Chicago,Medium,Books,Occasional,Desktop,No,-0.78,15
630,Great service and fast shipping!,Neutral,Houston,High,Electronics,New,Desktop,Yes,-0.08,98
631,The product is amazing! Highly recommend it.,Positive,Phoenix,Low,Books,Regular,Tablet,No,0.96,56
632,"Terrible quality, would not buy again.",Negative,Phoenix,High,Toys,Occasional,Mobile,Yes,-0.8,84
633,"It's okay, but could be better.",Neutral,Houston,Medium,Sports,Regular,Desktop,No,0.15,56
634,Best purchase ever! Love the features.,Positive,San Antonio,Low,Books,Regular,Tablet,No,0.65,37
635,"The delivery was late, and the item was damaged.",Negative,Philadelphia,Medium,Toys,Regular,Mobile,No,-0.58,64
636,Decent product for the price.,Neutral,Los Angeles,Low,Toys,Regular,Mobile,No,-0.02,17
637,Absolutely love this! Worth every penny.,Positive,Phoenix,Low,Electronics,New,Mobile,No,0.52,93
638,Not worth the money. Save your cash.,Negative,Chicago,Medium,Electronics,New,Desktop,Yes,-0.76,21
639,"It works fine, nothing special though.",Neutral,Los Angeles,Medium,Books,Occasional,Desktop,Yes,-0.11,78
640,Great service and fast shipping!,Positive,Chicago,High,Electronics,Regular,Tablet,No,0.65,93
641,The product is amazing! Highly recommend it.,Negative,San Antonio,Medium,Electronics,Occasional,Tablet,No,-0.66,86
642,"Terrible quality, would not buy again.",Neutral,New York,Low,Sports,Regular,Mobile,Yes,0.01,52
643,"It's okay, but could be better.",Positive,Los Angeles,Medium,Home Goods,Regular,Desktop,Yes,0.94,33
644,Best purchase ever! Love the features.,Negative,Phoenix,Medium,Books,Occasional,Mobile,Yes,-0.53,77
645,"The delivery was late, and the item was damaged.",Neutral,Los Angeles,High,Books,Occasional,Mobile,Yes,0.08,95
646,Decent product for the price.,Positive,Los Angeles,High,Books,Regular,Tablet,No,0.93,12
647,Absolutely love this! Worth every penny.,Negative,Los Angeles,High,Electronics,Regular,Desktop,No,-0.9,96
648,Not worth the money. Save your cash.,Neutral,Philadelphia,Medium,Sports,New,Tablet,Yes,-0.17,46
649,"It works fine, nothing special though.",Positive,Los Angeles,Medium,Electronics,Occasional,Desktop,Yes,0.67,70
650,Great service and fast shipping!,Negative,Chicago,Low,Toys,New,Mobile,Yes,-0.84,75
651,The product is amazing! Highly recommend it.,Neutral,New York,High,Clothing,New,Mobile,Yes,0.07,87
652,"Terrible quality, would not buy again.",Positive,San Antonio,Low,Clothing,Occasional,Mobile,Yes,0.92,71
653,"It's okay, but could be better.",Negative,Houston,Low,Clothing,Regular,Desktop,No,-0.85,57
654,Best purchase ever! Love the features.,Neutral,Los Angeles,Low,Home Goods,Occasional,Mobile,Yes,-0.03,20
655,"The delivery was late, and the item was damaged.",Positive,Phoenix,Medium,Electronics,Regular,Desktop,Yes,0.55,68
656,Decent product for the price.,Negative,Los Angeles,Medium,Toys,Regular,Desktop,Yes,-0.79,85
657,Absolutely love this! Worth every penny.,Neutral,Phoenix,Medium,Toys,Occasional,Tablet,No,-0.11,44
658,Not worth the money. Save your cash.,Positive,Chicago,High,Clothing,Occasional,Mobile,No,0.69,30
659,"It works fine, nothing special though.",Negative,Phoenix,High,Sports,Regular,Tablet,Yes,-0.87,25
660,Great service and fast shipping!,Neutral,Houston,Medium,Home Goods,Occasional,Desktop,Yes,0.12,31
661,The product is amazing! Highly recommend it.,Positive,New York,Low,Home Goods,Occasional,Mobile,No,0.5,2
662,"Terrible quality, would not buy again.",Negative,Phoenix,High,Clothing,Regular,Mobile,Yes,-0.83,84
663,"It's okay, but could be better.",Neutral,Phoenix,High,Clothing,Regular,Desktop,No,0.19,54
664,Best purchase ever! Love the features.,Positive,New York,Medium,Electronics,Regular,Mobile,Yes,0.84,14
665,"The delivery was late, and the item was damaged.",Negative,Houston,Medium,Sports,Regular,Desktop,No,-0.61,23
666,Decent product for the price.,Neutral,Los Angeles,Low,Home Goods,Occasional,Mobile,Yes,0.14,69
667,Absolutely love this! Worth every penny.,Positive,Phoenix,High,Toys,Occasional,Mobile,No,0.68,52
668,Not worth the money. Save your cash.,Negative,New York,Medium,Clothing,Occasional,Desktop,No,-0.97,83
669,"It works fine, nothing special though.",Neutral,Chicago,Medium,Electronics,Regular,Tablet,Yes,-0.04,50
670,Great service and fast shipping!,Positive,New York,Low,Toys,Regular,Desktop,Yes,0.83,71
671,The product is amazing! Highly recommend it.,Negative,Chicago,High,Home Goods,Regular,Mobile,Yes,-0.81,85
672,"Terrible quality, would not buy again.",Neutral,Houston,Medium,Clothing,Regular,Desktop,No,-0.02,33
673,"It's okay, but could be better.",Positive,Los Angeles,Low,Sports,Regular,Desktop,Yes,0.91,84
674,Best purchase ever! Love the features.,Negative,New York,Medium,Clothing,Occasional,Desktop,Yes,-0.98,9
675,"The delivery was late, and the item was damaged.",Neutral,San Antonio,Medium,Sports,Regular,Mobile,Yes,-0.07,95
676,Decent product for the price.,Positive,San Antonio,Medium,Electronics,Occasional,Tablet,No,0.74,8
677,Absolutely love this! Worth every penny.,Negative,Philadelphia,Medium,Electronics,Occasional,Tablet,Yes,-0.85,75
678,Not worth the money. Save your cash.,Neutral,Phoenix,Medium,Home Goods,Occasional,Mobile,Yes,-0.02,7
679,"It works fine, nothing special though.",Positive,Houston,High,Sports,Regular,Tablet,No,0.7,21
680,Great service and fast shipping!,Negative,New York,Low,Clothing,New,Desktop,No,-0.54,92
681,The product is amazing! Highly recommend it.,Neutral,San Antonio,Low,Electronics,New,Desktop,Yes,-0.0,53
682,"Terrible quality, would not buy again.",Positive,Phoenix,Low,Clothing,Regular,Tablet,Yes,0.74,15
683,"It's okay, but could be better.",Negative,San Antonio,Medium,Home Goods,Occasional,Tablet,Yes,-0.87,72
684,Best purchase ever! Love the features.,Neutral,New York,Medium,Sports,New,Tablet,Yes,-0.18,52
685,"The delivery was late, and the item was damaged.",Positive,Chicago,High,Clothing,Occasional,Desktop,Yes,0.65,76
686,Decent product for the price.,Negative,New York,Medium,Toys,Regular,Desktop,Yes,-0.99,69
687,Absolutely love this! Worth every penny.,Neutral,Philadelphia,Medium,Clothing,Occasional,Mobile,Yes,0.13,72
688,Not worth the money. Save your cash.,Positive,New York,High,Books,Occasional,Mobile,Yes,0.6,37
689,"It works fine, nothing special though.",Negative,New York,Low,Books,Occasional,Desktop,No,-0.54,78
690,Great service and fast shipping!,Neutral,Philadelphia,High,Home Goods,New,Desktop,Yes,0.15,4
691,The product is amazing! Highly recommend it.,Positive,Houston,Medium,Home Goods,Occasional,Mobile,No,0.83,91
692,"Terrible quality, would not buy again.",Negative,New York,Medium,Home Goods,Regular,Mobile,Yes,-0.57,79
693,"It's okay, but could be better.",Neutral,Philadelphia,Medium,Toys,Occasional,Desktop,Yes,0.15,84
694,Best purchase ever! Love the features.,Positive,Phoenix,Medium,Sports,Occasional,Tablet,Yes,0.89,61
695,"The delivery was late, and the item was damaged.",Negative,Chicago,Low,Toys,Regular,Desktop,No,-0.75,22
696,Decent product for the price.,Neutral,Chicago,Medium,Clothing,Regular,Tablet,Yes,0.18,49
697,Absolutely love this! Worth every penny.,Positive,New York,Medium,Electronics,New,Desktop,Yes,0.91,36
698,Not worth the money. Save your cash.,Negative,Houston,High,Sports,Occasional,Mobile,Yes,-0.94,94
699,"It works fine, nothing special though.",Neutral,Houston,Medium,Books,Regular,Mobile,Yes,-0.03,97
700,Great service and fast shipping!,Positive,Phoenix,High,Books,Regular,Mobile,No,0.77,63
701,The product is amazing! Highly recommend it.,Negative,New York,Medium,Books,Occasional,Desktop,Yes,-0.74,92
702,"Terrible quality, would not buy again.",Neutral,Chicago,Medium,Clothing,Occasional,Desktop,No,-0.05,38
703,"It's okay, but could be better.",Positive,Houston,Medium,Clothing,Regular,Desktop,No,0.77,40
704,Best purchase ever! Love the features.,Negative,New York,Medium,Home Goods,Occasional,Tablet,Yes,-0.95,64
705,"The delivery was late, and the item was damaged.",Neutral,San Antonio,High,Electronics,Regular,Desktop,No,0.06,68
706,Decent product for the price.,Positive,Houston,Medium,Home Goods,Regular,Tablet,Yes,0.75,56
707,Absolutely love this! Worth every penny.,Negative,Philadelphia,Medium,Clothing,Occasional,Tablet,Yes,-0.61,14
708,Not worth the money. Save your cash.,Neutral,San Antonio,Low,Toys,Regular,Tablet,Yes,0.08,2
709,"It works fine, nothing special though.",Positive,Houston,Medium,Home Goods,New,Mobile,No,0.56,63
710,Great service and fast shipping!,Negative,Chicago,Low,Sports,Regular,Tablet,No,-0.82,19
711,The product is amazing! Highly recommend it.,Neutral,Los Angeles,Medium,Clothing,Occasional,Tablet,Yes,0.09,78
712,"Terrible quality, would not buy again.",Positive,San Antonio,Low,Clothing,Regular,Mobile,No,0.67,71
713,"It's okay, but could be better.",Negative,Phoenix,Low,Toys,Regular,Tablet,No,-0.72,9
714,Best purchase ever! Love the features.,Neutral,Phoenix,Low,Toys,Occasional,Desktop,Yes,0.18,33
715,"The delivery was late, and the item was damaged.",Positive,Chicago,Low,Toys,Occasional,Desktop,Yes,0.54,88
716,Decent product for the price.,Negative,Houston,Medium,Electronics,Occasional,Mobile,Yes,-0.9,61
717,Absolutely love this! Worth every penny.,Neutral,New York,High,Sports,Occasional,Mobile,No,-0.01,85
718,Not worth the money. Save your cash.,Positive,Houston,Medium,Clothing,Occasional,Tablet,Yes,0.87,44
719,"It works fine, nothing special though.",Negative,Chicago,Medium,Toys,Occasional,Tablet,No,-0.83,65
720,Great service and fast shipping!,Neutral,Phoenix,Medium,Electronics,Occasional,Tablet,No,-0.15,85
721,The product is amazing! Highly recommend it.,Positive,Houston,Low,Books,Occasional,Mobile,No,0.66,57
722,"Terrible quality, would not buy again.",Negative,Phoenix,High,Sports,Occasional,Tablet,No,-0.68,24
723,"It's okay, but could be better.",Neutral,San Antonio,Low,Books,New,Desktop,No,0.12,44
724,Best purchase ever! Love the features.,Positive,New York,Medium,Books,Regular,Desktop,No,0.99,68
725,"The delivery was late, and the item was damaged.",Negative,San Antonio,Medium,Clothing,Occasional,Tablet,Yes,-0.62,6
726,Decent product for the price.,Neutral,Phoenix,Low,Electronics,Regular,Mobile,Yes,-0.0,67
727,Absolutely love this! Worth every penny.,Positive,Phoenix,Medium,Electronics,Regular,Desktop,Yes,0.65,34
728,Not worth the money. Save your cash.,Negative,Los Angeles,Medium,Books,Occasional,Mobile,Yes,-0.54,25
729,"It works fine, nothing special though.",Neutral,Los Angeles,Medium,Sports,New,Desktop,Yes,0.01,27
730,Great service and fast shipping!,Positive,San Antonio,Medium,Home Goods,Occasional,Tablet,Yes,0.84,18
731,The product is amazing! Highly recommend it.,Negative,Philadelphia,Low,Books,Occasional,Tablet,No,-0.76,5
732,"Terrible quality, would not buy again.",Neutral,San Antonio,Medium,Clothing,Regular,Mobile,Yes,-0.1,88
733,"It's okay, but could be better.",Positive,Los Angeles,Low,Books,Occasional,Tablet,No,0.77,96
734,Best purchase ever! Love the features.,Negative,Phoenix,Medium,Sports,New,Mobile,No,-0.58,85
735,"The delivery was late, and the item was damaged.",Neutral,Chicago,Low,Sports,Regular,Mobile,No,-0.05,44
736,Decent product for the price.,Positive,San Antonio,Medium,Books,Regular,Desktop,Yes,0.83,98
737,Absolutely love this! Worth every penny.,Negative,Phoenix,Medium,Electronics,Occasional,Desktop,Yes,-0.98,93
738,Not worth the money. Save your cash.,Neutral,Chicago,Medium,Books,Occasional,Tablet,No,0.17,5
739,"It works fine, nothing special though.",Positive,Chicago,High,Toys,Occasional,Mobile,Yes,0.98,61
740,Great service and fast shipping!,Negative,Los Angeles,High,Toys,Occasional,Desktop,No,-0.81,92
741,The product is amazing! Highly recommend it.,Neutral,San Antonio,Medium,Home Goods,Occasional,Tablet,No,-0.0,6
742,"Terrible quality, would not buy again.",Positive,Houston,Medium,Clothing,Regular,Tablet,Yes,0.58,75
743,"It's okay, but could be better.",Negative,New York,Low,Clothing,Occasional,Desktop,Yes,-0.9,39
744,Best purchase ever! Love the features.,Neutral,Los Angeles,Medium,Electronics,Regular,Tablet,Yes,0.04,8
745,"The delivery was late, and the item was damaged.",Positive,Los Angeles,Low,Clothing,Regular,Desktop,No,0.81,99
